host_id,host_active_years,host_listings_count,host_response_rate_clean,host_acceptance_rate_clean,cluster
3166197,12.0,1,,0.86,
3098793,12.0,1,,,
2796885,12.0,1,,1.0,
2792596,12.0,1,1.0,1.0,0.0
3586627,12.0,1,,,
2673891,13.0,1,,,
2684782,13.0,1,,1.0,
2012441,13.0,1,1.0,1.0,0.0
2636196,13.0,1,1.0,0.93,0.0
2428279,13.0,3,1.0,0.92,0.0
2701471,12.0,1,,,
2710751,12.0,1,0.95,0.98,0.0
2715603,12.0,1,1.0,1.0,0.0
1750502,13.0,1,,,
2815155,12.0,1,,0.5,
2826016,12.0,1,1.0,0.83,0.0
2828466,12.0,1,0.67,0.18,3.0
2828673,12.0,1,1.0,0.0,0.0
2825957,12.0,1,1.0,0.84,0.0
2829146,12.0,1,1.0,0.33,0.0
3174298,12.0,1,,,
434359594,3.0,4,,1.0,
2130154,13.0,1,,0.75,
3182819,12.0,1,,,
3192694,12.0,1,1.0,,0.0
3199991,12.0,1,,,
3208290,12.0,1,,0.53,
2393428,13.0,1,1.0,0.25,0.0
2193102,13.0,1,1.0,1.0,0.0
483302706,2.0,7,,,
2837812,12.0,1,1.0,0.75,0.0
2839801,12.0,1,,0.58,
2847181,12.0,1,,,
2735917,12.0,1,0.9,0.67,0.0
2738836,12.0,1,1.0,0.84,0.0
2736576,12.0,1,1.0,1.0,0.0
483302706,2.0,7,,,
3398366,12.0,5,1.0,0.99,0.0
3398366,12.0,5,1.0,0.99,0.0
3545307,12.0,1,,,
350558356,5.0,27,0.99,0.92,2.0
2849460,12.0,1,1.0,0.86,0.0
2678011,13.0,1,1.0,0.96,0.0
3217373,12.0,2,,,
2532263,13.0,2,1.0,1.0,0.0
3234903,12.0,1,,,
3238068,12.0,1,1.0,1.0,0.0
2771748,12.0,2,1.0,0.74,0.0
3257244,12.0,1,,,
2769308,12.0,1,1.0,0.86,0.0
3279262,12.0,1,1.0,0.96,0.0
1273525,13.0,2,1.0,0.99,0.0
2153932,13.0,1,1.0,1.0,0.0
1773094,13.0,1,1.0,,0.0
2860060,12.0,1,,,
801658,13.0,1,,1.0,
3582540,12.0,1,1.0,0.97,0.0
3478482,12.0,1,0.5,,2.0
3583221,12.0,1,1.0,0.92,0.0
2427133,13.0,1,,,
1416191,13.0,1,1.0,1.0,0.0
3606758,12.0,1,,,
2063971,13.0,1,1.0,0.67,0.0
2871175,12.0,1,1.0,0.28,0.0
2876549,12.0,1,1.0,0.88,0.0
2446998,13.0,1,,,
2882764,12.0,1,,,
2887631,12.0,1,,,
2889233,12.0,1,1.0,0.75,0.0
3288267,12.0,1,,,
1849976,13.0,1,,1.0,
2869861,12.0,1,,,
3309149,12.0,1,1.0,0.0,0.0
3315322,12.0,1,1.0,1.0,0.0
3315449,12.0,1,1.0,,0.0
3338823,12.0,1,1.0,0.98,0.0
3343545,12.0,1,,0.0,
2535564,13.0,1,1.0,1.0,0.0
1739866,13.0,3,1.0,0.9,0.0
2845167,12.0,1,1.0,0.9,0.0
2901372,12.0,1,1.0,0.98,0.0
1956466,13.0,2,1.0,0.75,0.0
3626233,12.0,1,,1.0,
3641055,12.0,1,,,
3643790,12.0,1,0.0,1.0,3.0
77899763,9.0,1,,,
3646986,12.0,1,1.0,0.0,0.0
3647140,12.0,1,0.75,1.0,0.0
2903219,12.0,1,,,
794002,13.0,1,,,
2912626,12.0,1,1.0,0.9,0.0
2914853,12.0,2,0.96,0.99,0.0
2916097,12.0,1,,0.38,
2922068,12.0,2,1.0,0.96,0.0
3349972,12.0,1,1.0,0.67,0.0
3360970,12.0,1,,,
2789176,12.0,2,1.0,0.91,0.0
3369361,12.0,2,1.0,1.0,0.0
3384208,12.0,1,,1.0,
3387663,12.0,2,,,
2914744,12.0,1,1.0,0.9,0.0
2869092,12.0,2,1.0,0.9,0.0
3408657,12.0,2,1.0,1.0,0.0
3674400,12.0,1,,0.75,
3304125,12.0,1,1.0,1.0,0.0
2740241,12.0,2,0.29,0.0,3.0
3706368,12.0,1,0.9,0.29,0.0
3706989,12.0,1,1.0,0.57,0.0
3412450,12.0,1,1.0,0.54,0.0
2830607,12.0,1,,1.0,
2930890,12.0,1,,,
2943122,12.0,1,1.0,1.0,0.0
1432318,13.0,1,1.0,1.0,0.0
3419847,12.0,1,,,
3387663,12.0,2,,,
3429814,12.0,1,1.0,0.47,0.0
3439769,12.0,1,1.0,1.0,0.0
3398224,12.0,1,1.0,0.5,0.0
3443466,12.0,1,1.0,0.96,0.0
2951129,12.0,1,1.0,1.0,0.0
2940357,12.0,1,1.0,0.71,0.0
2956935,12.0,2,1.0,0.95,0.0
2964285,12.0,1,1.0,1.0,0.0
2964480,12.0,1,,,
2914078,12.0,1,0.9,0.48,0.0
3732728,12.0,1,1.0,0.88,0.0
3680454,12.0,1,1.0,0.0,0.0
3757722,12.0,1,,,
3153782,12.0,1,,0.67,
3767251,12.0,2,0.75,0.85,0.0
3767887,12.0,1,1.0,0.85,0.0
3760419,12.0,1,1.0,0.75,0.0
2950411,12.0,1,1.0,0.94,0.0
1841581,13.0,1,,1.0,
2157959,13.0,1,,,
2975582,12.0,1,1.0,0.92,0.0
2976015,12.0,1,,,
2978049,12.0,1,,1.0,
2982966,12.0,1,1.0,0.96,0.0
1184670,13.0,1,,,
1466866,13.0,26,0.94,1.0,0.0
3469416,12.0,1,1.0,0.98,0.0
2277289,13.0,1,1.0,1.0,0.0
3478485,12.0,1,1.0,0.75,0.0
3472107,12.0,1,1.0,0.86,0.0
688985,14.0,1,1.0,0.56,0.0
174025,14.0,1,,,
3370940,12.0,1,1.0,0.91,0.0
161864978,7.0,2,1.0,1.0,0.0
3515191,12.0,1,,,
1818026,13.0,1,,,
2998062,12.0,1,,1.0,
3003638,12.0,1,,,
3008013,12.0,1,1.0,0.67,0.0
3478014,12.0,1,1.0,0.33,0.0
4024303,12.0,1,,0.57,
4027086,12.0,2,1.0,0.98,0.0
4030819,12.0,1,1.0,0.0,0.0
4033514,12.0,1,1.0,0.71,0.0
4034553,12.0,1,,,
6360906,12.0,1,,,
3775366,12.0,1,,,
897262,13.0,1,1.0,0.88,0.0
3779530,12.0,2,1.0,0.65,0.0
2614055,13.0,1,1.0,1.0,0.0
3790051,12.0,1,1.0,1.0,0.0
538837216,1.0,1,,,
3139736,12.0,3,,1.0,
3797873,12.0,1,,1.0,
3800604,12.0,1,0.0,0.15,3.0
3009369,12.0,1,,,
2668387,13.0,1,,1.0,
2993215,12.0,1,1.0,1.0,0.0
3024348,12.0,1,0.33,0.0,3.0
3804024,12.0,1,1.0,0.69,0.0
3017944,12.0,1,1.0,0.88,0.0
3813661,12.0,1,1.0,,0.0
3817358,12.0,2,1.0,0.99,0.0
3713163,12.0,1,,,
3823728,12.0,1,,1.0,
188037,14.0,1,,0.8,
3849945,12.0,1,,,
3801904,12.0,1,1.0,1.0,0.0
3885590,12.0,1,,,
3031781,12.0,1,1.0,1.0,0.0
2999976,12.0,1,1.0,,0.0
3036010,12.0,1,,,
3044025,12.0,1,1.0,1.0,0.0
1140793,13.0,2,0.9,0.75,0.0
3990567,12.0,1,1.0,0.33,0.0
4157101,12.0,1,1.0,1.0,0.0
3927779,12.0,2,1.0,1.0,0.0
3779530,12.0,2,1.0,0.65,0.0
4003692,12.0,2,1.0,0.94,0.0
4103357,12.0,1,1.0,1.0,0.0
4105336,12.0,1,,,
837958,13.0,3,1.0,0.99,0.0
3899712,12.0,2,1.0,0.74,0.0
3099986,12.0,2,1.0,0.75,0.0
3890718,12.0,1,1.0,1.0,0.0
3908492,12.0,1,1.0,0.88,0.0
3917721,12.0,1,1.0,1.0,0.0
3927172,12.0,1,,,
3929253,12.0,1,1.0,0.86,0.0
1932662,13.0,1,1.0,1.0,0.0
3900023,12.0,1,0.7,0.33,0.0
3049533,12.0,3,1.0,1.0,0.0
3049654,12.0,3,1.0,0.99,0.0
3049533,12.0,3,1.0,1.0,0.0
2979596,12.0,6,1.0,0.0,0.0
3254729,12.0,1,1.0,1.0,0.0
1743966,13.0,1,1.0,1.0,0.0
4116187,12.0,4,0.6,0.57,0.0
1206219,13.0,1,,,
3947340,12.0,2,1.0,0.83,0.0
4121143,12.0,1,,1.0,
4121537,12.0,1,,,
4116187,12.0,4,0.6,0.57,0.0
4125976,12.0,2,,,
4116187,12.0,4,0.6,0.57,0.0
7371375,11.0,1,,1.0,
750392,13.0,1,1.0,1.0,0.0
2979596,12.0,6,1.0,0.0,0.0
4264459,12.0,6,1.0,1.0,0.0
4267902,12.0,1,1.0,1.0,0.0
3936414,12.0,1,1.0,1.0,0.0
2362824,13.0,1,0.75,0.63,0.0
3910308,12.0,1,,,
2320395,13.0,2,1.0,0.82,0.0
3952727,12.0,1,1.0,0.71,0.0
3638729,12.0,1,1.0,0.96,0.0
3970258,12.0,1,1.0,0.0,0.0
1606856,13.0,2,0.96,0.96,0.0
3874814,12.0,1,1.0,0.71,0.0
1984910,13.0,1,,,
4271020,12.0,1,1.0,0.65,0.0
4116187,12.0,4,0.6,0.57,0.0
4016862,12.0,1,1.0,1.0,0.0
4135777,12.0,1,1.0,0.0,0.0
4137127,12.0,1,,,
4138201,12.0,1,1.0,0.96,0.0
4144775,12.0,1,1.0,1.0,0.0
2517069,13.0,1,1.0,1.0,0.0
4151475,12.0,1,,,
4155063,12.0,1,1.0,0.45,0.0
4165243,12.0,1,,,
4164013,12.0,1,,,
4277368,12.0,1,1.0,0.71,0.0
4279735,12.0,1,1.0,1.0,0.0
4287343,12.0,1,1.0,0.93,0.0
4287241,12.0,1,,1.0,
3727753,12.0,1,1.0,0.84,0.0
3976637,12.0,1,,,
686964,14.0,2,1.0,0.88,0.0
3984068,12.0,1,1.0,0.81,0.0
3523050,12.0,1,1.0,0.43,0.0
3991029,12.0,1,1.0,0.95,0.0
426026,14.0,1,,,
4003692,12.0,2,1.0,0.94,0.0
2759450,12.0,1,1.0,1.0,0.0
3989003,12.0,1,1.0,0.64,0.0
4173470,12.0,1,,1.0,
4172990,12.0,1,,,
4058898,12.0,1,,,
4180031,12.0,2,1.0,1.0,0.0
4182065,12.0,2,,1.0,
4182144,12.0,1,,,
4183976,12.0,5,1.0,0.77,0.0
2574890,13.0,1,1.0,0.86,0.0
3573824,12.0,1,1.0,1.0,0.0
4316437,12.0,1,,,
4329405,12.0,1,,,
4306297,12.0,1,1.0,1.0,0.0
4338374,12.0,1,,,
4343316,12.0,1,1.0,0.74,0.0
4349525,12.0,1,1.0,1.0,0.0
4005557,12.0,2,1.0,0.98,0.0
3079957,12.0,2,1.0,0.92,0.0
3248716,12.0,1,1.0,0.0,0.0
4249525,12.0,1,,,
4433680,12.0,1,1.0,0.89,0.0
830764,13.0,2,1.0,0.97,0.0
4440664,12.0,1,1.0,1.0,0.0
